gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
bradi,TRUE,,@1は@2に対する@3〈抗争〉における敵［敵対者、対抗者、相手、試合相手］である；@1と@2は敵同士である,敵、敵対者、対抗者、相手、試合相手、対戦相手,@1 is an enemy/opponent/adversary/foe of @2 in struggle @3.,敵、敵対者、対抗者、相手、試合相手、対戦相手,,,,,,,,,,,,,,,DD(D+F),,,,,
brano,FALSE,,"@1is bleen, associated with time x/2",,"@1 is bleen, associated with time @2",,,,,,,,,"Grue and bleen are predicates coined by Nelson Goodman in /Fact, Fiction, and Forecast/ to illustrate ""the new riddle of induction"". These predicates are unusual because their application to things is time dependent. See also: {clinu}.",,,,,,,,,,,,
bratu,TRUE,,@1は@2〈成分〉のひょう［あられ、みぞれ］である,ひょう、あられ、みぞれ、雹、霰、霙,@1 is hail/sleet/freezing rain/solid precipitation of material/composition including @2.,ひょう、あられ、みぞれ、雹、霰、霙,,,,,,,,,,,,,,,,,,,,
brazo,TRUE,地域,@1は@2《属性》に関してブラジル的［らしい、っぽい、風］；@1は@2《属性》に関してブラジル系の言語［文化、民族、国民性、地理など］を反映している、満たしている,ブラジル,@1 reflects Brazilian culture/nationality/language in aspect @2.,ブラジル,,,,,,-raz-,,,,,,,,,DC,D,C,-,-,-
bredi,TRUE,,@1は@2《こと》に向けて準備できている［用意が整っている、覚悟している］,準備、用意、覚悟,@1 is ready/prepared for @2 (event).,,,,,,,-red-   ,-bre-,,,,,,レディ,,FF,こと,こと,-,-,-
bridi,TRUE,,@1《命題》は@2〈関係〉を@3〈項の列・集合〉について賓述を表す関係性［命題］である,命題,@1 (du'u) is a predicate relationship with relation @2 among arguments (sequence/set) @3.,,,,,,,-bri-,,自然言語においては、 x2 を表すのが賓辞／述語、 x3 のうちの一つを表すのが主辞／主語。 ,,,,,,,,,,,,
brife,TRUE,,@1は@2〈起源〉@3〈速度〉の風である；@1は@2から吹く；@2は@1を吹く,風、吹く,@1 is a breeze/wind/gale from direction @2 with speed @3; @1 blows from @2.,,,,,,,-bif-   ,-bi'e-,@2は方角も含まれます。 ・関連語： {tcima},,,,,"breeze, fen(風)",,,,,,,
briju,TRUE,,@1は@2〈従業員〉@3〈所〉の職場［事務所、営業所、局］である,職場、事務所、営業所、局、仕事場、オフィス,@1 is an office/bureau/work-place of worker @2 at location @3.,職場、事務所、営業所、局、仕事場、オフィス,,,,,,-bij-,,,,,,,,,DDD,,,,,
brito,TRUE,地域,@1は@2《属性》に関して英国［イギリス］的［らしい、っぽい、風］；@1は@2《属性》に関して英国［イギリス］系の言語［文化、民族、国民性、地理など］を反映している、満たしている,英国、イギリス,@1 reflects British/United Kingdom culture/nationality in aspect @2.,,,,,,,-rit-,,「イングランド」ではない。 ,,,,,,,DC,D,C,-,-,-
brivo,FALSE,,"@1is a predicate word defined as such by its word shape, signifying relation@2(n-ary property) in language x/3",,"@1 is a predicate word defined as such by its word shape, signifying relation @2 (n-ary property) in language @3",,,,,,,,,"In Lojban, this encompasses {gismu} + {lujvo} + {zi'evla}, but excludes pro-bridi, which are {cmavo}.",,,,,,,,,,,,
broda,TRUE,代ブリディ,代ブリディその1,代ブリディ,1st assignable variable predicate (context determines place structure).,,,,,,,-rod-,,{cei}を使って{selbri}を代入できる。,,,,,,-,?,?,?,?,?,?
brode,TRUE,代ブリディ,代ブリディその2,代ブリディ,2nd assignable variable predicate (context determines place structure).,,,,,,,-bo'e-,,{cei}を使って{selbri}を代入できる。,,,,,,-,?,?,?,?,?,?
brodi,TRUE,代ブリディ,代ブリディその3,代ブリディ,3rd assignable variable predicate (context determines place structure).,,,,,,,,,{cei}を使って{selbri}を代入できる。,,,,,,-,?,?,?,?,?,?
brodo,TRUE,代ブリディ,代ブリディその4,代ブリディ,4th assignable variable predicate (context determines place structure).,,,,,,,,,{cei}を使って{selbri}を代入できる。,,,,,,-,?,?,?,?,?,?
brodu,TRUE,代ブリディ,代ブリディその5,代ブリディ,5th assignable variable predicate (context determines place structure).,,,,,,,,,{cei}を使って{selbri}を代入できる。,,,,,,-,?,?,?,?,?,?
bruna,TRUE,,@1は@2の@3〈血縁関係〉による兄［弟］である；@1と@2は@3〈血縁関係〉による兄弟関係にある,兄弟、兄弟関係、兄、弟,@1 is brother of/fraternal to @2 by bond/tie/standard/parent(s) @3; [not necess. biological].,,,,,,,-bun-   ,-bu'a-,,,,,,,,,,,,,
budjo,TRUE,宗教,@1は@2《属性》に関して仏教系,仏教,@1 pertains to the Buddhist culture/religion/ethos in aspect @2.,,,,,,,-buj-   ,-bu'o-,,,,,,"＜武道上手＞,仏頂面",,DC,D,C,-,-,-
bukpu,TRUE,,@1は@2〈素材・種類〉の布［織物］である,布、織物,@1 is an amount of cloth/fabric of type/material @2.,,,,,,,-buk-   ,-bu'u-,,,,,,,,,,,,,
bumru,TRUE,,@1は@2〈液体成分〉の霧［水蒸気、もや］である；@1は霧っぽい［もやもやしている、かすんでいる］,霧、水蒸気、もや、靄、もやもや、かすみ、霞,@1 is foggy/misty/covered by a fog/mist/vapor of liquid @2.,霧、水蒸気、もや、靄,,,,,,-bum-,,,,,,,,,,,,,,
bunda,TRUE,,@1は@2《数》@3〈単位系〉@4〈下位単位〉の非メートル法［土着の質量、貫、ポンド］,貫、ポンド,"@1 is @2 (def. 1) local weight unit(s) [non-metric], standard @3, subunits [e.g. ounces] @4.",,,,,,,-bud-,,,,,,,,,,,,,,
bunre,TRUE,色,@1は茶色［黄褐色、小麦色］である,茶色、黄褐色、小麦色,@1 is brown/tan [color adjective].,,,,,,,-bur-   ,-bu'e-,,,,,,,skari,D,もの,-,-,-,-
burcu,TRUE,,@1は@2〈用途〉・@3（毛状物）のブラシ［はけ、モップ、毛筆］,ブラシ、はけ、モップ、毛筆,@1 is a brush for purpose @2 (event) with bristles @3.,,,,,,,-bru-,,,,,,,,,,,,,,
burna,TRUE,,@1は@2〈状況〉においてどぎまぎする［緊張する、落ち着かない、きまりの悪さを感じる、当惑する］,どぎまぎ、緊張、当惑、どきどき、そわそわ,@1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions @2 (abstraction).,,,,,,,,,「ckeji」と違い、恥ずかしさを含意しない。「xanka」と違い、未然／未知の事柄でなく現在知覚されている事柄にたいする心理的動揺を表す。 ,,,,,,,,,,,,
cabna,TRUE,時間,@1は@2と同時；@1は現在［今］,同時、今、現在,@1 is current at/in the present of/during/concurrent/simultaneous with @2 in time.,,,,,,,-cab-,,,,,,,,,,,,,,
cabra,TRUE,,@1は@2〈機能〉@3〈操縦者〉の装置［デバイス］である,装置、デバイス,@1 is apparatus/mechanism/device/equipment for function @2 controlled/[triggered] by @3 (agent).,,,,,,,-ca'a-,,「minji」と違い、自動性が含意されない。 ,,,,,,,,,,,,
cacra,TRUE,,@1《こと》は@3〈基準〉で@2［≜1］《数》時間かかる,時間,@1 is @2 hours in duration (default is 1 hour) by standard @3.,,,,,,,,,通常は「60分」。 ,,,,,,,,,,,,
cadga,FALSE,,"@1(abstraction) should/(of right) ought to be true/happening under conditions/in the case of@2being true/happening, as believed by/by standard/under consideration of x/3. If the world were proper/correct/just/ruled perfectly and strictly according to@3and if@2were true, then @1would be true as well.",,"@1 (abstraction) should/(of right) ought to be true/happening under conditions/in the case of @2 being true/happening, as believed by/by standard/under consideration of @3. If the world were proper/correct/just/ruled perfectly and strictly according to @3 and if @2 were true, then @1 would be true as well.",,,,,,,,,"Moral judgment goes in x/3.@3can also be assumed by expectation under hypothesized laws of physics, by the true situation of the world, etc. Synonymous with {zgadi}.",,,,,,,,,,,,
cadzu,TRUE,,@1は@2〈表面〉を@3〈肢〉で歩く,歩く,@1 walks/strides/paces on surface @2 using limbs @3.,,,,,,,-dzu-,,,,,,,,,,,,,,
cafne,TRUE,,@1《こと》は@2〈基準〉においてよく起こる,頻繁、しょっちゅう、頻発,@1 (event) often/frequently/commonly/customarily occurs/recurs by standard @2.,,,,,,,-caf-,,,,,,,,,,,,,,
cagna,FALSE,,@1is an open/closed wound on locus@2caused by x/3.,,@1 is an open/closed wound on locus @2 caused by @3.,,,,,,,,,"Unlike {velxai}, it's specific to physical injuries pertaining to the surface of an organic body such as skin. Open wounds include {ka'arcagna} for ""incision / incised wound"", {fercagna} for ""laceration"", {gukcagna} for ""abrasion"", {tuncagna} for ""puncture wound"", {grecagna} for ""penetration wound"", {batcagna} for ""bite wound"", {dancagna} for ""gunshot wound"", {jelcagna} for ""burn"", {da'ercagna} for ""bedsore"", {furcagna} for ""necrosis""; closed wounds include {daxcagna} for ""contusion/bruise"", {camdaxcagna} for ""hematoma"", {ra'ircagna} for ""chronic wound"". The victim (the whole of the injured body) may be specified by joining it to the x2 with ""po"" or putting it directly on x2 with ""tu'a"".",,,,,,,,,,,,
cakla,TRUE,食物,@1は@2〈種類〉のチョコレート［ココア］,チョコレート、ココア,@1 is made of/contains/is a quantity of chocolate/cocoa.,,,,,,,,,,,,,,,2,DD,もの,もの,-,-,-
calku,TRUE,,@1は@2を覆う@3〈成分〉の殻,殻,"@1 is a shell/husk [hard, protective covering] around @2 composed of @3.",,,,,,,-cak-,,,,,,,,,DDD,,,,,
calse,FALSE,,@1(event) is spacelike-separated from@2(event)  under signal means/in universe/by information channel (parametrization) x/3,,@1 (event) is spacelike-separated from @2 (event)  under signal means/in universe/by information channel (parametrization) @3,,,,,,,,,"Includes lightlike-separation. See also: {temse}, {tcese}.",,,,,,,,,,,,
canci,TRUE,,@1は@2〈所・視界〉から消える,消える,@1 vanishes/disappears from location @2; @1 ceases to be observed at @2 using senses/sensor @3.,,,,,,,,,眼やカメラ等の視覚媒体としてx3の追加も。「現れる」は「to'e/tol-」で対義化。 ,,,,,,,,,,,,
cando,TRUE,,@1は無動作［怠惰、怠けている、アイドリング状態］である,無動作、怠惰、怠ける、アイドリング状態、暇,@1 is idle/at rest/inactive.,怠け者、暇人,,,,,,-cad-,,悲観的な意味合とは限りません。「暇」としても表します。,,,,,シャンと動作,,D,もの,-,-,-,-
cange,TRUE,,@1は@2〈場所〉@3〈責任者〉@4〈作物〉の田畑［農場、農園、養殖場、飼育場、牧場］である,田畑、農場、農園、養殖場、飼育場、牧場,"@1 is a farm/ranch at @2, farmed by @3, raising/producing @4; (adjective:) @1 is agrarian.",田畑、農場、農園、養殖場、飼育場、牧場,,,,,,-cag-,,,,,,,,,,,,,,
canja,TRUE,,@1は@2〈あげるもの〉を@3〈もらうもの〉と@4と交換する；@1@4は貿易業者［投機家、相場師、物々交換する者］である,交換,"@1 exchanges/trades/barters commodity @2 for @3 with @4; @1, @4 is a trader/merchant/businessman.",,あげるもの、差し出すもの、差し出す対象,もらうもの、受け取るもの、受け取る対象,,,,-caj-,,@1@4として「所有権を交換する者」という sumti を引き出す（意味論的により厳密に言うなら {posycanja}）。 やりとりされる費用と価格の違いについては {jdima} の注を参照。,,,,,,,,,,,,
canko,TRUE,,@1は@2〈壁・建物・構造〉の窓［門、入口、出口、玄関］である,窓、門、入口、出口、玄関,@1 is a window/portal/opening [portal] in wall/building/structure @2.,窓、門、入口、出口、玄関,,,,,,-ca'o-,,,,,,,,,,,,,,
canlu,TRUE,,@1は@2〈内容〉が占める空間（三次元的広がり）； @2は@1を占める,占める、空間,@1 is space/volume/region/room [at-least-3-dimensional area] occupied by @2.,,,,,,,-cal-   ,-ca'u-,,,,,,,,,,,,,
canpa,TRUE,,@1は@2を掘るためのシャベル,シャベル,@1 is a shovel/spade [bladed digging implement] for digging @2.,シャベル,掘る用途,,,,,-cna-,,,,,,,,,,,,,,
canre,TRUE,,@1は@2〈起源〉@3〈成分〉の砂［砂利］である,砂、砂利,@1 is a quantity of/contains/is made of sand/grit from source @2 of composition including @3.,砂、砂利,,,,,,-can-,,「研磨剤」も。 ,,,,,,,,,,,,
canti,TRUE,身体、部位,@1は@2〈本体〉の消化器官［胃腸］である,消化器、胃腸,@1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of @2.,,,,,,,,,,,,,,シャンするティー,,DD,もの,もの,-,-,-
carce,TRUE,,@1は@2〈荷物〉を運ぶ@3〈原動力〉による荷車［小型運搬車、手押し車、農耕車、ショッピングカート］,荷車、小型運搬車、手押し車、農耕車、ショッピングカート,"@1 is a cart/carriage/wagon [wheeled vehicle] for carrying @2, propelled by @3.",荷車、小型運搬車、手押し車、農耕車、ショッピングカート,,,,,,,,,,,,,,,,,,,,
carfu,FALSE,,@1is a (true) shrew (sorichomorph eutherian mammals) of subtaxon/type/genus/species/variety/breed x/2,,@1 is a (true) shrew (sorichomorph eutherian mammals) of subtaxon/type/genus/species/variety/breed @2,,,,,,,,,"Does not include elephant shrews, rabbits/pikas, or any rodents (such as rats and mice). See also: {sengi}, {ratcu}, {smacu}, {ractu}.",,,,,,,,,,,,
carmi,TRUE,,@1は@2《属性》に関して@3〈観点〉で激しい、強烈［激烈、猛烈、熱烈］である,激しい、強烈、激烈、猛烈、熱烈,@1 is intense/bright/saturated/brilliant in property (ka) @2 as received/measured by observer @3.,,,,,,,-cam-   ,-cai-,「まぶしい」「まばゆい」「濃い」も。 ,,,,,,,,,,,,
carna,TRUE,,@1は@2〈軸〉@3〈指向〉で回る、回転［周回、旋回］する,回る、回転、周回、旋回,"@1 turns about vector @2 towards direction @3, turning angular distance / to face point @4 ",,,,,,,-car-,,,,,,,,,,,,,,
cartu,TRUE,,@1は@2に関する@3〈特性〉の図表［見取り図、図式、地図、ダイヤグラム、グラフ、予定表］,図表、見取り図、図式、地図、ダイヤグラム、グラフ、予定表,@1 is a chart/diagram/map of/about @2 showing formation/data-points @3.,,,,,,,-cat-,,,,,,,,,,,,,,
carvi,TRUE,,@1は@2〈終点〉に@3〈始点〉から降る［降り注ぐ］；@1はシャワー状である,降る、シャワー,@1 rains/showers/[precipitates] to @2 from @3; @1 is precipitation [not limited to 'rain'].,,,,,,,-cav-,,或る総体から分離／分散して落ちること。 ,,,,,,,,,,,,
casnu,TRUE,,@1《群》は@2〈題目〉について話し合う、検討［討議、論議、談議、談合、会議］する,話し合う、検討、討議、論議、談議、談合、会議,"@1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject @2.",,,,,,,-snu-,,,,,,,,,,,,,,
